,Unnamed: 0,평점,날짜,제목,내용
0,0,4,20.10.01.,다른건 사진 설명에 첨부했으니 간략히 사용해본 후기 음질  제가 막귀라 적당히 잘 들리면 되는데 음악을 틀어보니 생각보다 음질이 깔끔하고 풍성한 것 같고 만족함 노캔기능이 있다보,다른건 사진 설명에 첨부했으니 간략히 사용해본 후기음질  제가 막귀라 적당히 잘 들리면 되는데 음악을 틀어보니 생각보다 음질이 깔끔하고 풍성한 것 같고 만족함노캔기능이 있다보니 끼고있으면 귀가 비행기타듯 먹먹해지는 느낌이 들 수 있는데 제품 특성이니 주변 잡음을 잡아주고 음향을 잘 느낄 수 있게 해주는 듯이거 느껴보고싶으면 한쪽만 껴보고 느껴지는 감각을 확인해보길바람착용감 엄지 손가락 한마디 만한 강낭콩이 어떻게 내귀에 착 달라붙지 싶었는데 잘 달라붙음ㅋㅋ 그냥 케이스 충전하다 그대로 꺼내서 끼우면되니 위아래 찾을 필요가 없음 몇번 끼우다보면 아실거임근데 내 귀가 작은편이라 일반 이어폰도 오래끼면 귓구멍이 눌려서 부을때가 있어 오픈형이어폰을 찾고있었고 마침 버즈 라이브가 오픈형이라 기대하고 삼 확실히 건 덜해졌는데 안쪽 귓바퀴에 살짝 끼워지는 형식이다보니 첨에 넘 아파서 뺄때도 고통스러웠음 ㅠㅜ 첨엔 괜히 샀나했는데 지금은 익숙해지고 나만의 최적의 착용 스팟을 찾게 돼서인지 아픈건 많이 줄고 편함 갠적으론 저거 고무 이어캡 빼고씀 저거있으면 끼우는 면적이 넓어지니 너무 아픔 ㅠㅠ 지금도 기존에 있던것도 빼버리고 쓰는중  물론 내 귀가 유난히 남들보나 작은편이라 그런거지 일반적인 귀크기 가지신분들은 무난하게 쓰실듯충전  집에서쓰다보니 크게 긴충전이 얼마나드는진 모르겠지만 그냥 자기전에 케이스충전해놓고 일어나서 쓰고 잠깐 밥먹거나 딱히 쓰진 않을땐 잠깐 다시 충전해놓고 써서 끊김없이 잘 쓰는중 잠깐 분충전해도 몇시간은 쓰는 것 같은데 귀건강을 위해 쓰다가 빼서 휴식하고 다시 쓰는걸 반복중아 맞다 무선이라 끊김 걱정있는 후기도봤는데 이건 쓰면서 끊긴적없음 겜하면서도 써봤는데또 더 쓸게 있는진 몰겠는데 유선있을때 불편함이 없어지니 확실히 편함 가끔 무선 써놓고 무심코 유선있을때처럼 선있는줄알고 공중에서 선치우는 척한적도 있음ㅎ아 터치센서가 가끔 넘 잘 먹혀서 머리 넘기거나 끼운위치 조정하려고 잡으면 터치 인식해가지고 멈춰둔 동영상이나 음악 멋대로 재생되거나 넘어갈때도있음 귀만지게되는 습관 고쳐질듯
1,1,4,20.09.26.,갤럭시 버즈를 사용해본 갤럭시 유저로서의 현실적인 리뷰장점 버즈와같이 고무 윙팁으로 차단하는 것이아닌 형태임에도 주변소음이 생각보다 잘차단됨노캔안켜도착용감이 편하며 그,갤럭시 버즈를 사용해본 갤럭시 유저로서의 현실적인 리뷰장점 버즈와같이 고무 윙팁으로 차단하는 것이아닌 형태임에도 주변소음이 생각보다 잘차단됨노캔안켜도착용감이 편하며 그냥 끼면되는 형태라 무선이어폰을 처음쓰는사람에게도 좋을듯노캔이 생각이상으로 뛰어남 가격차이도있고 아무래도 에어팟프로보다는 현저히 떨어지는게맞음 그러나 에어팟정도의 노캔은 정말 모든소리를 차단하는수준이라 평상시에 쓰기엔 편리함도있지만 불편함도 존재함예를 들어 차경적소리를 못듣는다거나 누군가 부르는소리를 못듣는다거나 그러나 버즈라이브강낭콩은 딱 생활속에서 번화가소음 기계의 잔소음 작은 차소리 등은 완벽히 걸러줄 음악이나 미디어를 안키고 조용한상태에서 노캔을 켰을때갤럭시 웨어러블의 소프트웨어적 지원도 잘되어있고 무선충전등 다양한기능을 제공하는편임 음질 통화품질도 버즈는 바람불면 아예못알아듣던 반면 강낭콩은 잡음은 좀 잡히지만 많이 개선됨예전에는 삼성뮤직만 거의지원했던거에비해 이젠 지니뮤직등의 음악어플도 지원폭이 넓어짐주의노캔의 특성상 반대의 파동으로 소리를 상쇄시키기 때문에 특유의 붕뜨는 기분이 들수있음 게다가 무음인상태에서 노캔만키게되면 노캔특성상 우우우웅하는 소리가 들릴수있음 이건 강낭콩만 해당하는것이아닌 다른 이어폰들도 마찬가지임 노캔기능을 처음접하는 경우 참고바람이럼에도 점을 한이유는 케이스에 있는 잔기스때문임 이건 제조과정에서 긁혔거나 유통중 문제라 다른제품은 안그럴확률이 높음단점케이스가 너무 아담한사이즈라 성인남자 기준으로 잡고여는데 오히려 너무 작아서 불편했음 게다가 버즈처럼 홈이있지않고 매끈하기때문에 여는곳을 손톱으로 열어야했음터치하는부분이 버즈처럼 넓고 눈감고 만져도 보일정도가 아니라 좀 작은부위만 터치가 인식됨 여러번눌러야하는 경우가있었음 작은구멍위를 눌러야하는걸봐선 조도센서를 이용한 터지가아닌가 생각해봄확실히 사의 이어폰이나 사과사의 이어폰보다는  그점은 유의바람버즈와는 달리 길쭉해서그런지 손에서 많이 놓치는 경우가 생겼음 매끈매끈해서 잡을때 좀 불편함 그러나 이정도는 감수해줄수있는 수준임총평 만원 가격대에 딱맞는 음질과 마이크 노캔기능을 지녔음 가성비적으로 준수한편임 그러나 딱  뛰어나다 수준은 아님 에어팟프로의 성능을 기대하고 산다면 실망할듯 그래도 착용감 음질 적당한 노캔등은 실생활에서 유용하게 쓰일것같음 큰 노이즈캔슬이 필요없는 학생이나 대학생에게 심플하면서도 부담안되는 가격대로 적당한 제품인것같음장점을 인용하여 평가하자면 갤럭시 폰을 쓰는 사람이라면 강낭콩을 추천함 에어팟은 사과사의 전통에 알맞게 호환이 좀 떨어짐 반면 아이폰을쓴다면 고민없이 에어팟프로를 추천함 하지만 확실한 착용감을 원한다면 강낭콩 왜냐하면 에어팟은 특성상 약간 걸치는 느낌이있음 껴본사람으로써 운동하거나 할때는 떨어질까봐 신경이 많이쓰였음 몇주간 사용해본결과 모든것 다 그대로 이고 전작 버즈에비해 많은 부분이 개선됨 하지만 좀 사용하고난 후 단점으로는 케이스에 기스가 많이남 살짝 떨어트려도 흠짓이 보일정도로 취약한 편임  또한 노이즈캔슬링이 바람이 많이부는곳에서는  차안에 타고있을때 정도의 차소리는 잘 걸러주지만 대로변을 걷거나 바람이 많이부는날 노이즈캔슬링을 하면 오히려 뭔가 머리가 띵해지는 기분을 받았음 그러나 이건 노이즈캔슬링 자체의 문제인것같으니 이런걸 싫은사람은 완벽한 노이즈캔슬링을 사길바람 오픈형의 버즈라이브로서는 정말 최고의 노이즈캔슬링 기능이라고 할수있을듯 블루투스 연결도 매우빠르고 터지도 잘 되는편임마지막 총평  처음부터 있었던 상품의 흠짓만 뺀다면 별개를 주고싶음 이런저런이유로 마음에 드는 제품임
2,2,5,20.08.12.,갤럭서 버즈의 첫  기능이 있는 제품을 기다렸는데 타사  적용 블루투스 이어폰보다 가격이 저렴하게 나와 바로 구매했습니다 배송은 하루 걸려서 완전 대만족 하루,갤럭서 버즈의 첫  기능이 있는 제품을 기다렸는데 타사  적용 블루투스 이어폰보다 가격이 저렴하게 나와 바로 구매했습니다 배송은 하루 걸려서 완전 대만족 하루 사용 후 간단하게 후기를 적어봅니다 충전케이스는 아담한 정사각형이라 휴대하기 편합니다 무선과 유선충전이 가능하며 갤럭시의 무선배터리공유 기능을 이용할 수 있어 좋네요 음질은 저음기능이 강화되어 입체감 있는 음향이 너무 맘에 들어요 개인적으로는  앱으로 이퀄라이저기능에서 풍성한을 선택하니 더 맘에 드네요 기능은 오픈형이라 소음이 완전히 없어지진 않지만 통화나 음악듣는데는 문제 없고 주위가 차분해지는 느낌이 드네요 무엇보다 오픈형이라 오래 껴도 아프지 않아 좋아요  너무 작아서 빠지지 않을까 걱정했는데 운동시에도 잘 고정되고 머리를 흔들어도 빠지지 않습니다 기능이 있는 블루투스 이어폰 중 타사 대비 경쟁력 있는 가격으로 출시한 거 같습니다 주위 사람들도 실제 보더니 사고 싶어 하네요
3,3,5,20.08.17., 착용감후기들 보면 착용감에 대해선 호불호가 많이 갈리는 거 같아서 불안했는데 착용감은 괜찮았어요 제 귀가 작진 않고 평균이거나 조금 큰 거 같은데 살짝 귓구멍에 더 들어가긴, 착용감후기들 보면 착용감에 대해선 호불호가 많이 갈리는 거 같아서 불안했는데 착용감은 괜찮았어요 제 귀가 작진 않고 평균이거나 조금 큰 거 같은데 살짝 귓구멍에 더 들어가긴 하지만 착용감은 편안합니다 그리고 큰 이어 팁으로 바꾸고 껴봤는데 귓바퀴쪽에 살짝 통증이 있어서 저는 처음에 껴있던 작은 이어팁이 맞는거 같아요 전에 커널형 이어폰은 오래 끼면 귀가 아팠는데 버즈 라이브는 오래 끼고 있어도 괜찮네요 이건 개인적인 느낌이니깐 사려고 고민이신 분은 디지털 플라자에 가서 착용해보시고 구매하시는 거 추천합니다 음질다른 후기들 보면 무선이어폰치고 저음이 엄청 좋아졌다는 후기를 많이 봤는데 노래 듣는 타입이라 딱히 신경은 쓰진 않았어요 근데 버즈 라이브를 딱 처음 끼고 노래 들으니깐 다른 사용자분들이 말씀하시는 게 어떤 건지 알 거 같아요 둥 둥 거리는 소리도 좋고 막귀가 인정한 음질입니다 버즈 라이브 듣고 다른 이어폰 들으니 뭔가 이 듭니다 색상사실 브론즈 사려 했었는데 전부터 무난한 색화이트 블랙만 써봐서 브론즈 쓰기 겁나더라고요 그래서 고민하다가 블랙으로  결제하고 나서도 블랙이 너무 유광이라 부담스럽지 않을까 생각했는데 실물로 보니 많이 부담스럽지 않은 거 같아요 브론즈나  마찬가지로 색상도 디지털 플라자에서 직접 보고 구매하시길 추천드립니다 사진으로 보는 것과 실물로 보는 게 다른 거 같아요 그래도  통화품질통화품질 많이 좋습니다 에어팟 프로는 사용한 적이 없어서 에어팟과는 비교는 못하지만 버즈 플러스와 비교하면 확실히 좋습니다 버즈 플러스도 많이 좋은 편인데 버즈 라이브가 조금 더 좋은 거 같아요 조용한 곳에서는 당연히 잘 들리고 버스와 지하철에서 통화 해봤는데 상대방이 잘 들린다고 하네요 지하철 소리와 주변 사람들 말 소리 안들린다고 해요 통화품질 관련해서 유튜브 영상 보면 에어팟 프로와도 비교하는 영상 많으니 한 번씩 보는 것도 추천드립니다 노이즈 캔슬링노캔은 한 번도 써본 적은 없어서 써보고 싶긴 했지만 후기들 보면 노캔이 없는 거나 마찬가지라는 후기들 보고 노이즈 캔슬링 기대는 안 하고 구매했어요 어차피 버즈 라이브는 오픈형 이어폰이니 에어팟 프로와는 비교는 안 될 거 같습니다 그래도 노캔을 켜고 한번 들어봤는데 별로 체감이 안되더라고요 그런데 노캔을 끄고 나니 역체감으로 차이가 느껴지는 거 같아요 뭔가 우웅 거리는 소리가 사라지는 느낌 후기보면 저음의 소리만 잡아준다고 하는데 딱 그 느낌인거 같아요 실생활에서는 노캔을 키나 끄나 차이가 없을 거 같아요 노캔은 기대하고 사게 된다면 기대감 확 떨어질 거 같습니다 누음오픈형 이어폰이라 주변 사람들에게 소리가 많이 샐까 봐 걱정 많이 했었습니다 그래서 집에서 소리가 얼마나 새는지 실험을 해봤는데 착용은 삼성에서 권장하는 착용법과 귀에 조금 더 넣는 착용법으로 두 가지 착용법 실험을 해봤습니다 삼성에서 권장하는 착용법으로 듣게 되면 음량  정도만 되면 새는거 같아요 그래도 옆 사람이 흥얼거릴 정도는 아니고 노래 듣고 있구나 하는 정도고  정도 돼야 많이 새는 거 같습니다 귀에 조금 더 넣는 착용법으로 하면  정도 돼야 노래 듣고 있구나 하는 정도고 잘 들리지 않습니다 어차피  되면 제 귀가 아파서 이렇게 높게 하고 듣진 않을 거 같아요 이건 제 개인적으로 한 실험이라 실제와 다를 수 있습니다결론디지털 플라자에서 직접 착용해보시고 구매하시는 거 추천드려요 착용법만 맞으신다면 음질과 차음성도 나쁘시지 않을 거예요 통화 품질은 확실히 폰 치고는 많이 새지 않는 거 같습니다 노캔은 그냥 잡음 정도만 걸러주고 말소리나 큰소리는 들립니다 저는 들어야 하는 소리는 들려서 더 만족합니다 마지막으로 저는 커널형 이어폰보다 오픈형 이어폰 선호해서 현재는 완전 만족합니다 개인적인 후기이기 때문에 실제와는 다를 수 있습니다
4,4,5,20.08.19.,블랙 색상이다 보니 모든 구성품 검은색으로 깔맞춤 되어있어 더 보기가 좋네요 구입 전 색상 고민을 많이 했는데 화이트는 너무 무난하고 브론즈는 너무 튀어서 그 중간에 있는 블랙,블랙 색상이다 보니 모든 구성품 검은색으로 깔맞춤 되어있어 더 보기가 좋네요 구입 전 색상 고민을 많이 했는데 화이트는 너무 무난하고 브론즈는 너무 튀어서 그 중간에 있는 블랙을 선택했는데 실물이 너무 예쁩니다 대신 유광 부위에 벌써 지문이 많이 보이네요ㅎㅎ호불호가 강하게 드는 착용감 때문에 구매 전부터 걱정이 많았는데요 오픈형 특유의 개방감 덕분에 커널형에서 느꼈던 답답함이 없었고 귓바퀴에 정확히 안착되어 첫 착용감은 만족스러웠습니다 대신 오랫동안 착용했을 때 윙팁이 귓바퀴를 누르면서 생기는 통증이 조금은 거슬렸습니다
5,5,5,21.04.10.,무선 이어폰을 처음 사용해봤습니다 유선만 이용해서 무선은 음질이 떨어지지 않을까 걱정했는데 그걸 바로 해소시켜준 제품입니다 우선 귀에 딱 맞게 착용했을 경우 대부분의 사람들이무선 이어폰을 처음 사용해봤습니다 유선만 이용해서 무선은 음질이 떨어지지 않을까 걱정했는데 그걸 바로 해소시켜준 제품입니다우선 귀에 딱 맞게 착용했을 경우 대부분의 사람들이 감탄할 만한 사운드가 뿜어져 나왔고 저음의 울림이 마치 공연장을 연상케했습니다 라이브란 이름이 이런 특색을 두고 네이밍된 것이 아닐까 생각합니다 노이즈캔슬링의 경우 집에선 이게 잘 되는걸까 의심했는데 고속버스 엔진음이 주변에 들릴 때 마치 창문을 하나 닫은 것처럼 외부 소음이 차단됐습니다 엄청 극적인 효과는 없지만 이 정도면 일상생활에선 충분하다고 생각합니다착용감은 제 귀에는 실리콘 팁이나 이어팁 교체가 필요 없을만큼 딱 맞았습니다 다만 가끔씩 오래 착용하면 귀가 불편해질 때도 있었습니다디자인 면에서는 콩 같아서 고민하시는 분들이 있을텐데 그러지 않으셔도 될 것 같습니다 저도 디자인과 색이 독특해서 망설였는데 실제 착용을 해보니 개성을 살리면서도 지나치게 튀지 않는 고급스러운 디자인이었습니다 미스틱 블랙 구매했습니다 단점이 있다면 역시 유광 제품은 유분과 지문이 너무 잘 보인다는 점이지만 구매 전에 예상한터라 큰 단점은 아니었습니다 오히려 블랙이 때가 덜 타지 않을까요ㅎㅎ 케이스는 보석함마냥 심플하면서 빛나는데 혹시나 긁힐까봐 케이스 구매하여 바로 씌웠습니다 죠르디 케이스 근본 케이스 인정합니다연결성도 만족스러운 수준입니다 아이폰인데도 크게 대부분의 기능을 문제 없이 사용할 수 있으며 아이폰의 음성비서 기능도 사용할 수 있었습니다결론만 얘기하자면 드립니다 요 아이폰이시면 에어팟 사실 수도 있겠지만 음질만 놓고 보면 이 제품이 더 훌륭하지 않을까 생각합니다 잘 고민해보시고 합리적 구매 하세요,무선 이어폰을 처음 사용해봤습니다 유선만 이용해서 무선은 음질이 떨어지지 않을까 걱정했는데 그걸 바로 해소시켜준 제품입니다우선 귀에 딱 맞게 착용했을 경우 대부분의 사람들이 감탄할 만한 사운드가 뿜어져 나왔고 저음의 울림이 마치 공연장을 연상케했습니다 라이브란 이름이 이런 특색을 두고 네이밍된 것이 아닐까 생각합니다 노이즈캔슬링의 경우 집에선 이게 잘 되는걸까 의심했는데 고속버스 엔진음이 주변에 들릴 때 마치 창문을 하나 닫은 것처럼 외부 소음이 차단됐습니다 엄청 극적인 효과는 없지만 이 정도면 일상생활에선 충분하다고 생각합니다착용감은 제 귀에는 실리콘 팁이나 이어팁 교체가 필요 없을만큼 딱 맞았습니다 다만 가끔씩 오래 착용하면 귀가 불편해질 때도 있었습니다디자인 면에서는 콩 같아서 고민하시는 분들이 있을텐데 그러지 않으셔도 될 것 같습니다 저도 디자인과 색이 독특해서 망설였는데 실제 착용을 해보니 개성을 살리면서도 지나치게 튀지 않는 고급스러운 디자인이었습니다 미스틱 블랙 구매했습니다 단점이 있다면 역시 유광 제품은 유분과 지문이 너무 잘 보인다는 점이지만 구매 전에 예상한터라 큰 단점은 아니었습니다 오히려 블랙이 때가 덜 타지 않을까요ㅎㅎ 케이스는 보석함마냥 심플하면서 빛나는데 혹시나 긁힐까봐 케이스 구매하여 바로 씌웠습니다 죠르디 케이스 근본 케이스 인정합니다연결성도 만족스러운 수준입니다 아이폰인데도 크게 대부분의 기능을 문제 없이 사용할 수 있으며 아이폰의 음성비서 기능도 사용할 수 있었습니다결론만 얘기하자면 드립니다 요 아이폰이시면 에어팟 사실 수도 있겠지만 음질만 놓고 보면 이 제품이 더 훌륭하지 않을까 생각합니다 잘 고민해보시고 합리적 구매 하세요
6,6,5,21.04.03.,무선이어폰중에 가장 디자인도 마음에 들고 케이스가 예뻐서 구매했습니다깔끔한 하얀색에 때가 타거나 하는 일도 없어 걱정없이 여기저기 넣고다닐수있어 좋고 귀어 넣고 러닝머신을 타거무선이어폰중에 가장 디자인도 마음에 들고 케이스가 예뻐서 구매했습니다깔끔한 하얀색에 때가 타거나 하는 일도 없어 걱정없이 여기저기 넣고다닐수있어 좋고 귀어 넣고 러닝머신을 타거나 헬스를 해도 빠지지않아 편리하더라고요노이즈 캔슬링이 막 완벽해서 주변소음이 완전히 안들리지 않지만 노래를 감상하거나 할때 방해가 되지 않을 정도로는 차단해줍니다 딱 적당하게 차단해주는 게 저는 오히려 좋더라고요한달 넘게 사용하면서 화장실에 가지고갔다 물바다에 빠트리거나 떨어뜨린 적도 많았는데 고장도 안나고 언제나 튼튼하게 잘 작동하더라고요다른 제품들은 진짜 다 고장내서 제가 마이너스의 손이었는데  다만 운동하면서 귀에 터치가 되거나 할 때 너무 잘 반응해서 노래가 끊기거나 하는 경우가 있어서 좀 불편했어요 이것도 그만큼 터치를 잘 감지한다는 걸 의미한다고 생각할 수 있겠네요배터리도 하루 충전하고 일까지 썼어요 저는 출퇴근길에 끼고 운동할때 한 두어시간 끼고 산책하거나 할때 두어시간정도 해서 하루에 한 대여섯 시간정도 사용하고 충전안하고 놔두는 편이거든요 근데도 풀충전에 그냥 굴리다보면 방전됐으려나 싶어 확인하죠 그럼 거의 케이스만 이정도로 떨어져있고 이어폰은 거의 가득 차있더라고요ㅎㅎ있고 이거 쓰다 잃어버리거나 불편하면 새로나온 버즈프로나 에어팟으로 넘어가려했는데 사용해보고나니 재구매도 라이브로 할 예정입니다아 현재 폰은 갤럭시 사용중입니다주변 분들에게 ,무선이어폰중에 가장 디자인도 마음에 들고 케이스가 예뻐서 구매했습니다깔끔한 하얀색에 때가 타거나 하는 일도 없어 걱정없이 여기저기 넣고다닐수있어 좋고 귀어 넣고 러닝머신을 타거나 헬스를 해도 빠지지않아 편리하더라고요노이즈 캔슬링이 막 완벽해서 주변소음이 완전히 안들리지 않지만 노래를 감상하거나 할때 방해가 되지 않을 정도로는 차단해줍니다 딱 적당하게 차단해주는 게 저는 오히려 좋더라고요한달 넘게 사용하면서 화장실에 가지고갔다 물바다에 빠트리거나 떨어뜨린 적도 많았는데 고장도 안나고 언제나 튼튼하게 잘 작동하더라고요다른 제품들은 진짜 다 고장내서 제가 마이너스의 손이었는데  다만 운동하면서 귀에 터치가 되거나 할 때 너무 잘 반응해서 노래가 끊기거나 하는 경우가 있어서 좀 불편했어요 이것도 그만큼 터치를 잘 감지한다는 걸 의미한다고 생각할 수 있겠네요배터리도 하루 충전하고 일까지 썼어요 저는 출퇴근길에 끼고 운동할때 한 두어시간 끼고 산책하거나 할때 두어시간정도 해서 하루에 한 대여섯 시간정도 사용하고 충전안하고 놔두는 편이거든요 근데도 풀충전에 그냥 굴리다보면 방전됐으려나 싶어 확인하죠 그럼 거의 케이스만 이정도로 떨어져있고 이어폰은 거의 가득 차있더라고요ㅎㅎ있고 이거 쓰다 잃어버리거나 불편하면 새로나온 버즈프로나 에어팟으로 넘어가려했는데 사용해보고나니 재구매도 라이브로 할 예정입니다아 현재 폰은 갤럭시 사용중입니다주변 분들에게 
7,7,5,20.09.19.,오픈형을 찾으시는 분드에겐 좋은 선택일거 같네요 드라이버에서 나오는 음량 음질은 만족스럽습니다노캔기능은 아무래도 오픈형인점에서 크게 기대는 안하셔야 실망안하실겁니다착오픈형을 찾으시는 분드에겐 좋은 선택일거 같네요 드라이버에서 나오는 음량 음질은 만족스럽습니다노캔기능은 아무래도 오픈형인점에서 크게 기대는 안하셔야 실망안하실겁니다착용감은 귀의 크기에 따라 호불호가 확실히 갈리기 때문에 정확히 뭐라 하긴 그렇지만 개인적으로 귀가 큰편인데 착용감은 편한쪽이였습니다 장시간 끼고 있어도 불편함도 없었구요기존에 인이어 타입에 익숙하신 분들이라면 살짝씩 들려오는 주변소음에 적응을 많이 못하실수도 있겠네요저도포함하지만 너무 주변소리가 안들리면 불안하다 뒤에 차가오는지 안오는지 궁금해미치겠다 하시는 귀엽고 음질또한 만족스러운 소리를 들려주니까 오픈형 찾으신다면 좋은 선택지 중에 하나가 될 수 있을거 같습니다,오픈형을 찾으시는 분드에겐 좋은 선택일거 같네요 드라이버에서 나오는 음량 음질은 만족스럽습니다노캔기능은 아무래도 오픈형인점에서 크게 기대는 안하셔야 실망안하실겁니다착용감은 귀의 크기에 따라 호불호가 확실히 갈리기 때문에 정확히 뭐라 하긴 그렇지만 개인적으로 귀가 큰편인데 착용감은 편한쪽이였습니다 장시간 끼고 있어도 불편함도 없었구요기존에 인이어 타입에 익숙하신 분들이라면 살짝씩 들려오는 주변소음에 적응을 많이 못하실수도 있겠네요저도포함하지만 너무 주변소리가 안들리면 불안하다 뒤에 차가오는지 안오는지 궁금해미치겠다 하시는 귀엽고 음질또한 만족스러운 소리를 들려주니까 오픈형 찾으신다면 좋은 선택지 중에 하나가 될 수 있을거 같습니다
8,8,5,20.08.08.,디자인이 특이 해서 과연 이라는 의문을 가졌지만 생각보다 착용감이 괜찮습니다 익숙하지않아서 착용시 만지작거리다가 음악이 일시정지된다던가 음악이 켜진다던가 이건 단점이될지 그저디자인이 특이 해서 과연 이라는 의문을 가졌지만 생각보다 착용감이 괜찮습니다 익숙하지않아서 착용시 만지작거리다가 음악이 일시정지된다던가 음악이 켜진다던가 이건 단점이될지 그저 익숙하지못해서일지 아직 모르겠지만요음질은 전문가같이 이야기하기 어렵지만 확실히 일반인이 접한다면 최상의 음질을 선사 할것입니다 물론 조예가깊으신분은 단점을 찾으시겠지요노이즈켄슬링은 일단 집에서 들을때는 확실히 소음을 잡아주나 실외나 카페에서는 테스트를 안해봐서 잘 모르겠네요 확실히 집밖폭우소리는 안납니다그래도 최고의 장점은 오픈형이라 장시간 들어도 땀이 차지 않는다는점 아이폰은 에어팟프로를 사용하고있으나 장시간들으면 땀이나고 하는 단점이 있습니다만 버즈라이브는 답답한감을 못느껴서 좋습니다통화는 실내에서만 해봐서 그래도 기존 플러스보다는 많이 개선된거같다고 합니다 잘 들린다고하네요 약간 이어폰으로 통화하는 느낌 좀거리감약간울린단까 그런건 있다고는평이더군요,디자인이 특이 해서 과연 이라는 의문을 가졌지만 생각보다 착용감이 괜찮습니다 익숙하지않아서 착용시 만지작거리다가 음악이 일시정지된다던가 음악이 켜진다던가 이건 단점이될지 그저 익숙하지못해서일지 아직 모르겠지만요음질은 전문가같이 이야기하기 어렵지만 확실히 일반인이 접한다면 최상의 음질을 선사 할것입니다 물론 조예가깊으신분은 단점을 찾으시겠지요노이즈켄슬링은 일단 집에서 들을때는 확실히 소음을 잡아주나 실외나 카페에서는 테스트를 안해봐서 잘 모르겠네요 확실히 집밖폭우소리는 안납니다그래도 최고의 장점은 오픈형이라 장시간 들어도 땀이 차지 않는다는점 아이폰은 에어팟프로를 사용하고있으나 장시간들으면 땀이나고 하는 단점이 있습니다만 버즈라이브는 답답한감을 못느껴서 좋습니다통화는 실내에서만 해봐서 그래도 기존 플러스보다는 많이 개선된거같다고 합니다 잘 들린다고하네요 약간 이어폰으로 통화하는 느낌 좀거리감약간울린단까 그런건 있다고는평이더군요
9,9,5,20.08.11.,이어폰은 주로 길 걸어갈때나 지하철에서 쓰는데 너무 소음을 막아주는건 위험하다고 생각해서 주로 오픈형 이어폰만 썼는데 이렇게 갤럭시에서 딱 나와줘서 넘 좋네요 갤럭시만 써서 그런지이어폰은 주로 길 걸어갈때나 지하철에서 쓰는데 너무 소음을 막아주는건 위험하다고 생각해서 주로 오픈형 이어폰만 썼는데 이렇게 갤럭시에서 딱 나와줘서 넘 좋네요 갤럭시만 써서 그런지 다른 유명회사 제품에는 그닥 눈길이 안갔던터라서 암튼 착용은 귓속으로 깊이 안들어가니까 덜 답답해서 좋아요 처음 꼈을때 안익숙해서 이거 빠지는거 아냐했는데 익숙해지니 귀에 잘 안착해있네요 다만 요즘 마스크를 쓰고나니니 마스크 쓰고 뺄때는 조금 조심해야될거같아요 크게 움직여도 빠질거같진 않지만 물리력이 닿는건 조심해야될거같네요 음질은 확실히 제가 전에 썼던 저가형보다는 좋아요 역시 삼성이 베이스음을 잘 잡아주는거같아요 몰랐던 코러스 음도 들리고 좋아요 기대했던 노캔기능은 확실히 아쉬움이 남아요 동생이 콩나물을 가지고 있어서 비교했는데 이건 오픈형의 한계가 확실한 거 같아요 나름 실험해보려고 설거지하면서 써봤는데 뽀드득 거리는 식기닦는 소리가 적게 들려서 신기했지만 물소리나 다른 식기부딪히는 소리는 못잡아주네요 그래도 노래 듣는데 크게 않 전반적으로 특히 원래 기기는 특별한경우 아니면 화이트색 선택하는데 유튜버들 후기보는데 브론즈가 생각보다 넘 이쁘더라구요 실제로 착용하니 여러면에서 옷이랑 머리색에 튀지않고 어울리는게 가장 좋네요,이어폰은 주로 길 걸어갈때나 지하철에서 쓰는데 너무 소음을 막아주는건 위험하다고 생각해서 주로 오픈형 이어폰만 썼는데 이렇게 갤럭시에서 딱 나와줘서 넘 좋네요 갤럭시만 써서 그런지 다른 유명회사 제품에는 그닥 눈길이 안갔던터라서 암튼 착용은 귓속으로 깊이 안들어가니까 덜 답답해서 좋아요 처음 꼈을때 안익숙해서 이거 빠지는거 아냐했는데 익숙해지니 귀에 잘 안착해있네요 다만 요즘 마스크를 쓰고나니니 마스크 쓰고 뺄때는 조금 조심해야될거같아요 크게 움직여도 빠질거같진 않지만 물리력이 닿는건 조심해야될거같네요 음질은 확실히 제가 전에 썼던 저가형보다는 좋아요 역시 삼성이 베이스음을 잘 잡아주는거같아요 몰랐던 코러스 음도 들리고 좋아요 기대했던 노캔기능은 확실히 아쉬움이 남아요 동생이 콩나물을 가지고 있어서 비교했는데 이건 오픈형의 한계가 확실한 거 같아요 나름 실험해보려고 설거지하면서 써봤는데 뽀드득 거리는 식기닦는 소리가 적게 들려서 신기했지만 물소리나 다른 식기부딪히는 소리는 못잡아주네요 그래도 노래 듣는데 크게 않 전반적으로 특히 원래 기기는 특별한경우 아니면 화이트색 선택하는데 유튜버들 후기보는데 브론즈가 생각보다 넘 이쁘더라구요 실제로 착용하니 여러면에서 옷이랑 머리색에 튀지않고 어울리는게 가장 좋네요
