,Unnamed: 0,평점,날짜,제목,내용
0,0,5,21.05.21.,피부타입  유분기 많은 지성 소량의 트러블 있음 극도로 예민한 피부는 아님발림성무기자차 선크림 치고는 발림성이 굉장히 좋은 편입니다 무기자차라 어차피 발림성 보고 산건,피부타입  유분기 많은 지성 소량의 트러블 있음 극도로 예민한 피부는 아님발림성무기자차 선크림 치고는 발림성이 굉장히 좋은 편입니다 무기자차라 어차피 발림성 보고 산건 아니지만 진짜 나쁘지 않아요 굿굿입니다 지적할게 없어요백탁현상적당히 있어요 전 너무 심한 정도가 아니라면 적당한 백탁은 선호하는 편이라서  차라리 톤업 시켜주는 브라이트닝 업을 사볼까 생각도 했었는데 이것도 어느정도는 생기있게 만들어주는듯 해서 자연스러움을 원한다면 손에서도 비교를 해봤는데 확실히 바른쪽이 화사해요 반톤한톤 정도는 보정해주는 듯 해요 백탁을 전혀 원하지 않는 분에게는 수도 있지만 무기자차라 어쩔수 없는 부분이라고 봅니다 ㅜㅜ 특히나 남자분들이 백탁 많이 신경쓰실것 같은데 맨얼굴보다 훨나은 적당한 백탁이니 바르셔도 허옇게 뜨거나 이런건 거의 없어서 안심하셔도 됩니다마무리감처음엔 조금 유분 선크림 특유의 번들거림이 돌다가 분 정도지나면 보송보송하게 되는 편입니다 그렇다고 완전히 보송해지는 건 아니에요 저는 지성이기 때문에 좀 더 보송해지는걸 원했지만 건성분들은 이정도에 이걸 번들거린다고 해야될지 촉촉함이라고 해야될지 암튼 그럼에도 불구하고 마무리감이 다른 선크림에 비해 훨씬 가볍고 좋아요 유분감도 없구요향약하게 화장품풀냄새가 돌다가 곧 희미하게 사라져서 전 향은 크게 문제없었어요 코가 예민해서 선크림 특유의 화장품 향 그런거 엄청엄청 싫어하고 그것땜에 선크림도 잘 안바르고 다녔는데 이건 그런게 없어서 특히나 요즘같은 시국엔 마스크를 쓰기때문에 향이 너무 강하면 토나올것 같고 머리아픈데 그런게 진짜 다른 선크림에 비해 훨씬 덜합니다트러블순해요 총평  다른 선크림에 비해 지성이 쓰기 좋다 무난해서 호불호를 잘 안탈듯 하다
1,1,5,21.04.17.,바를때는 촉촉하고 발림도 부드럽게 발려요처음엔 백탁인가 싶었는데 두드리면서 빠르게 흡수되더니 보송한 마무리지복합성 수부지 피부인 저한테는 딱히 나쁜거 같지 않고 들뜸도 없어서,바를때는 촉촉하고 발림도 부드럽게 발려요처음엔 백탁인가 싶었는데 두드리면서 빠르게 흡수되더니 보송한 마무리지복합성 수부지 피부인 저한테는 딱히 나쁜거 같지 않고 들뜸도 없어서 좋아요마스크 때문인지 나이 때문인지눙물이 팔자주름 생겨서 시간 마다 덧바르는 중 제 피부는 소듕하니까요
2,2,5,피엠제이.,건성인 저에게는 약간 건조한 감이 없잖아 있지만 기름기없이 뽀송한 느낌이 좋습니다 부드럽게 발리고 분 전에 바르면 흡수되면서 백탁현상 거의 없어요 사실 아예 없으면 ,건성인 저에게는 약간 건조한 감이 없잖아 있지만 기름기없이 뽀송한 느낌이 좋습니다 부드럽게 발리고 분 전에 바르면 흡수되면서 백탁현상 거의 없어요 사실 아예 없으면 이 아니라는 말도 있어서 만족하고 쓰고 있습니다
3,3,5,21.04.21.,항상 사용하는 제품이에요지성피부인데 다른 선크림은 바르고 시간이 지나면 무겁고 진득하게 기름이 올라와서 보기싫은데 닥터지 선크림은 그렇지 않아요바르고나서 보송보송하고 얇게 여러번발,항상 사용하는 제품이에요지성피부인데 다른 선크림은 바르고 시간이 지나면 무겁고 진득하게 기름이 올라와서 보기싫은데 닥터지 선크림은 그렇지 않아요바르고나서 보송보송하고 얇게 여러번발라주면 밀리지도 않아요요즘 코로나때문에 마스크낀다고 화장을 거의 안해서 시간지나면 기름 올라오면서 얼굴이 어두워보이는데 닥터지선크림 바르면 적당히 백탁이 있어서 피부색을 환하게 만들어줘요제품모양은 다들 아시니까 사진은 택배 받고나서 너무 마음에 들었던 에코포장입니다 ㅎㅎ다른 회사들도 이렇게 해주셨으면 너무 좋을것같다는 생각도 했습니다ㅎㅎ
4,4,5,21.05.12.,항상 쓰는 제품입니다선크림은 발림성이 중요하다고 생각하는데 부드럽게 잘 발리고 세미매트하게 마무리돼서 사계절 내내 쓰기 좋습니다 이번에 포장도 과대포장없이 테이프없는 박스에다,항상 쓰는 제품입니다선크림은 발림성이 중요하다고 생각하는데 부드럽게 잘 발리고 세미매트하게 마무리돼서 사계절 내내 쓰기 좋습니다 이번에 포장도 과대포장없이 테이프없는 박스에다가 담겨져와서 좋았어요 샘플도 다양하게 챙겨줘서 요긴하게 쓰일 것 같아요 많이 파세요 
5,5,5,피엠제이.,화장품 앱에서 항상 상위권이어서 드디어 사서 써봤습니다백탁이 있고 바를 때 엄청 부드럽게 발리진 않습니다하지만 성분이 좋고 심지어 산호 백화현상을 일으키는 성분도 들어있지,화장품 앱에서 항상 상위권이어서 드디어 사서 써봤습니다백탁이 있고 바를 때 엄청 부드럽게 발리진 않습니다하지만 성분이 좋고 심지어 산호 백화현상을 일으키는 성분도 들어있지 않아서 환경에도 좋은 화장품입니다 아침에 바르고 저녁에 씻을 때 보니까 얼굴에 많이 남아있는 느낌이었습니다씻을 때 차 세안해야겠더라고요 아무튼 잘 구매했고 가격이 좀 나가지만 그만큼 기능을 하니까 믿고 잘 써보겠습니다
6,6,5,피엠제이.,일 일요일 주문해서 오늘 일 오후에 배송 받았네요내일이나 오려나했는데 빨리와서 좋고올리브영에서 사려다 네이버가 훨씬 더 저렴해서 구매했습니다딸이 홍조도있고 민감한피부라 화장품은,일 일요일 주문해서 오늘 일 오후에 배송 받았네요내일이나 오려나했는데 빨리와서 좋고올리브영에서 사려다네이버가 훨씬 더 저렴해서 구매했습니다딸이 홍조도있고 민감한피부라 화장품은 좀 알아보고 신중히 고르는 편인데바르던 자외선제품을 바꾸어 이번에 첨 사용하는 제품입니다한달정도 사용후 후기 정보 올릴려고요배송도 빠르고 포장도 깔끔하게 와서 좋네요
7,7,5,21.04.30.,저는 극건성인데 그렇다고 유분기 있는 선크림을 바르면 너무 번들거리더라구요그런데 닥터지는 적당히 촉촉하고 기름기가 생기지 않아서 애용하고있어요벌써 통은 넘게 쓴 것 같아요마스크,저는 극건성인데 그렇다고 유분기 있는 선크림을 바르면 너무 번들거리더라구요그런데 닥터지는 적당히 촉촉하고 기름기가 생기지 않아서 애용하고있어요벌써 통은 넘게 쓴 것 같아요마스크쓰고 다니면서 화장을 안하니 선크림을 더 자주 바르게 돼요두고 수시로 덧바르려고 샀습니다 너무 만족합니다
8,8,5,21.04.10.,원래 셀퓨전씨 썼었는데 화해 보고서 더 성분 좋은 거 샀어요 임산부라배송 하루만에 와서 완전 빠르고 기존 제품보다 발림성이 좋고 백탁이 덜한 것 같아서 좋아요같이 온 샘플도 클,원래 셀퓨전씨 썼었는데 화해 보고서 더 성분 좋은 거 샀어요 임산부라배송 하루만에 와서 완전 빠르고 기존 제품보다 발림성이 좋고 백탁이 덜한 것 같아서 좋아요같이 온 샘플도 클렌징 키트라서 짧게 여행 갈 때 갖고 가기에 넘 좋은 것 같아요 가격도 저렴하게 샀고 로그인하니 적립금이 많았어요ㅎ 아주 만족스럽습니다 마스크 쓰면 기미 더 잘 올라온다 하니 잘 바르고 다닐게요
9,9,5,21.05.09.,매일 마스크를 쓰고다니니 피부화장 대용으로 쓰려고 샀는데 딱 적절합니다 하얗게 둥둥뜨지 않고 자연스럽게 톤업돼서 원래 피부가 밝은것 같아요 약간 건조한 편이라 지성분들에게 추천,매일 마스크를 쓰고다니니 피부화장 대용으로 쓰려고 샀는데 딱 적절합니다 하얗게 둥둥뜨지 않고 자연스럽게 톤업돼서 원래 피부가 밝은것 같아요 약간 건조한 편이라 지성분들에게 추천합니다 얼굴이 뽀송뽀송해요 우통기한도 년까지라 안전하게 쓸 수 있어요
