,Unnamed: 0,평점,날짜,제목,내용
0,0,5,21.04.14.,전 복합성피부 입니다 코 부분은 엄청 피지 뿜뿜인데 눈가 이마 볼은 건조해요저는 완전 만족했어요일단 얇게 잘 발려요 그리고 진짜 가볍네요 화장 한 느낌이 안들어,전 복합성피부 입니다 코 부분은 엄청 피지 뿜뿜인데 눈가 이마 볼은 건조해요저는 완전 만족했어요일단 얇게 잘 발려요 그리고 진짜 가볍네요 화장 한 느낌이 안들어요 엄청 완벽하게 커버되는 건 아니지만 그래도 컨실러를 꼭 하지 않아도 될 정도 화장 한 후에 눈가 주름대로 화장이 갈라지고 끼이는 현상이 없습니다 매트해서 걱정했는데 말이죠일단 화장할 때는  아직 일단은 코랑 볼 쪽의 모공이 잘 커버가 되었어요 하지만 저녁에는 볼 쪽의 모공 쪽으로 살짝 끼임이 생겼습니다마스크 묻어남이 확실히 덜합니다 처음에 받자마자 치덕치덕 바르고 마스크를 꼈더니 묻어남이 조금 있었어요 그래도 그 동안 쓰던 쿠션보다는 훨씬 양호 근데 유투버 분들 영상을 보니 적은 양으로 충분히 커버가 되니 적은 양을 사용해 발라주고 마지막으로 퍼프를 휴지로 정리하고 얼굴 전체적으로 톡톡 두드려주라고 하더라구요 그랬더니 정말 코 쪽만 약간 묻어나고 마스크가 깨끗 시간 정도 착용하고 있었는데말이죠색상은 평소 호 쓰는데  주문했는데 그냥 제 피부색입니다 자연스러워요 한 단계 더 밝은 거 써도 괜찮을 것 같습니다건조함도 생각보다 괜찮았어요저는 지금까지 썼던 쿠션 중에 최고라고 느꼈어
1,1,5,21.03.31.,색상호 노란끼있는 피부라서  구매했습니다호피부에 딱 맞는 색상이에요 적당히 화사한 느낌에 목이랑 너무 동떨어지지않는 자연스러운 느낌이에요 기존 블랙쿠션 ,색상호 노란끼있는 피부라서  구매했습니다호피부에 딱 맞는 색상이에요 적당히 화사한 느낌에 목이랑 너무 동떨어지지않는 자연스러운 느낌이에요 기존 블랙쿠션 호 모두 사용해봤는데 호와 동일한 컬러인것같아요지속력요 기존 블랙쿠션도 지속력이 정말 좋은편이었는데 이번 제품은 밀착력이 훨씬 더 좋아진것같아요 너무 두껍지않게 얇게 발리면서 피부에 얇게 밀착돼서 묻어남도 정말 적고 들뜸도 없어요 시간이 지나도 끼임이나 들뜸도 없고 유분이 조금 올라오는것 제외하고는 무너짐도 거의 느껴지지않던 제품이에요 다크닝도 없고 너무 만족스러웠습니당 요즘 마스크를 매일 착용하는데 묻어남도 적고 마스크안에서 무너짐도 적어서 너무 좋았어요커버력얇게 발리는 제품인데도 불구하고 커버력이 좋다고 느꼈어요 당연히 큰 트러블 잡티까지는 완벽하게 가려지지않지만 다크서클이나 작은 잡티들은 거의 완벽하게 가려졌어요 커버력이 좋다보니 따로 컨실러를 사용하지않아도 될 정도였습니당외관 향기존 케이스보다 사이즈가 조금 커지긴했지만 미니백에 안들어가정도로 큰 느낌은 아니에요 기존 케이스와 달리 마그네틱으로 바뀌어서 훨씬 고급스러운 느낌이 드는 것 같아요기존 블랙쿠션을 사용하셨던분들은 아시겠지만 향이 굉장히 강하고 진한편이었는데 이번제품은 향이 기존보다 훨씬 약해지고 거의 신경안쓰이는 정도로 개선되었어요 향에 민감한편이라 이 점이 너무 맘에들었습니당구성도 너무 알차고 제품도 너무 마음에 들었어요 기존 블랙쿠션도 잘맞아서 거의 통정도 사용했는데 밀착력 향 등 많이 개선되어서 나오고 색상도 다양해져서 너무 좋은것같아용
2,2,3,21.05.07.,배송이느려도 넘느려서 기다리기 지치고 내려놀무렵에야 왔네요ㅠㅠ일날 주문해서 월 일에야왔어요저만그런건지 다른분만그런건지 너무느려서 문의넣으니그제서야늦는다고 하시고 그리,배송이느려도 넘느려서 기다리기 지치고 내려놀무렵에야 왔네요ㅠㅠ일날 주문해서 월 일에야왔어요저만그런건지 다른분만그런건지 너무느려서 문의넣으니그제서야늦는다고 하시고 그리고도 한참뒤에야오고 라이브방송보고 산거였는데 재고량도확인않하고무조건 주문받기만 하다니 받고서도기분이나쁘고찜찜하네요적어도 물건과같이 이래이래해서본의아니게 많이지체됬다죄송하다 간단한 사과편지라도적어서주셔야되는거 아닌가요여기보다작은가게에서 사도 이거보다 작은문제였어도문제나면사과편지와작은 샘플선물이라도주시고그러시던데 이렇게 무심하진않았는데대기업브렌드에서 일주일늦은것도아니고 무려이런 뒷처리땜에더기분상하네요돈은 그대로 다받고 받은 물건얘기하자면헤라껀쿠션쓰는건 미스트모이스트라이춰그쿠션 쓰고 이번이 두번째인데 커버는완벽하게 해주는건 아닌데 다크셔크가있는데 잘커버는아니고환해지는거 같아요촉촉하고 잘밀착되는거같아요 쿠션닫개가 자석타입이라 열고닫기 편해요그리고 크기다더커졌더라구요틴트는 컬러가적벽돌 컬러라봄여름에바르는건무리고 가을쯤바르면이쁠것같아요선크림키트도 두가지라 경우에 따라서 골라서쓰면 꽤픽서도않써봤지만 헤라껀첨써보는거라어떨지 기대모르겠네요밀착도메컵 고정도 잘됬으면바램입니다가격은 할인해서좋은기회에 산것같긴한테 끝마무리서기스까지좋았더라면어땠을까 라는 아쉬움이 남습니다
3,3,5,21.04.01.,리뉴얼 전 블랙쿠션도 아주 잘쓰고있었습니다엄청 건조한 겨울만 아니면 거의 블랙쿠션만 썼다고해도 과언이 아니에요궁금해서 새로운 쿠션 나오면 써보지만 결국엔 다시 블랙쿠션으로 돌아,리뉴얼 전 블랙쿠션도 아주 잘쓰고있었습니다엄청 건조한 겨울만 아니면 거의 블랙쿠션만 썼다고해도 과언이 아니에요궁금해서 새로운 쿠션 나오면 써보지만 결국엔 다시 블랙쿠션으로 돌아오게되더라구요케이스일단 버튼 없이 자석으로 바뀐건 조금 어색하네요그리고 뭔가 케이스가 본래 케이스보다 두꺼워지고 커진것같아요작은가방 가지고다닐때는 자리차지할것같아서 이건 조금 그래도 뭔가 더 고급지고 세련미 넘쳐보여요내용물조금 더 가벼워지고 얇아진 기분이 들어요그런데도 커버는 만족스럽게 되네요처음에는 너무 포슬포슬 건조하게 올라가는거 아닌가했는데 바르고 분정도 지나고나니 피부에 차악 달라붙어서 그냥 제 피부같아요제품이 얇다보니 자연스럽고 얼굴이 편안합니다 배송도 일만에받았나 한것같은데 이정도면 아 그리고 제품과 함께 동봉되어온 테스트용 헤라 프레쉬 누드틴트 번 받아봤는데 이거 영업당했어요자연스럽게 붉은색 원하던 색상이어서 이것도 당장 사러 헤라로 갑니다 총총
4,4,5,21.05.23.,헤라 쿠션팩트는 정말 갖고 싶었는데 번째 라이브방송만에 드디어 구매했습니다 다른데에서는 제가 갖고싶은 호는 할인을 안해서 못샀는데 역시 여기서는 해주네요ㅎㅎ팩트가 엄청,헤라 쿠션팩트는 정말 갖고 싶었는데 번째 라이브방송만에 드디어 구매했습니다 다른데에서는 제가 갖고싶은 호는 할인을 안해서 못샀는데 역시 여기서는 해주네요ㅎㅎ팩트가 엄청 얇고 자연스럽게 밀착되서 너무 예쁩니다 혹시 너무 밝을까봐 걱정했는데 예쁘게 톤업이 되서 바르면서도 부담이 없고 둥둥 떠다니는것같은 미백효과가 아니예요역시 헤라라고 할만큼 커버력도 괜찮아서 진짜 심한 트러블이 아닌이상 굳이 컨실러도 필요가 없었고 마스크에도 얼굴에 닿는 곳마다 다 묻어나는게 아니라 오래 착용해서 살짝 긁힌느낌이라서 마스크가 더러워보이지도 않았어요적은양으로도 전체적으로 잘 발려서 리필까지 세트로 가지고있어서 당분간은 걱정이 없네요또 전 호수 모두 할인해주는 라이브방송 해주면 좋겠어요
5,5,5,21.03.31.,일단 저는 파워지성입니다그리고 전 촉촉한 파데를 별로 좋아하지 않아요입ㅅ쿠션을 바르고 한시간만 지나면 번지르르  휴지로 찍어서 기름기를 제거해봤자 번들거리는게 잡히지 않,일단 저는 파워지성입니다그리고 전 촉촉한 파데를 별로 좋아하지 않아요입ㅅ쿠션을 바르고 한시간만 지나면 번지르르  휴지로 찍어서 기름기를 제거해봤자 번들거리는게 잡히지 않는 피부요 그래서 블랙쿠션을 년동안 너무너무 잘 썼어요근데 제니님 광고를 보고 리뉴얼 된 소식을 듣고 너무 좋아보여서 거의 유튜버 급으로 바로 샀습니다 ㅋㅋ 좋을거라 생각하고 샀는데 친구들한테 리뷰해주고 있어요 ㅋㅋ저는 기존 호 썼는데 호으로 샀습니다 근데 리뉴얼 된게 미세하게 더 밝은것 같아요  예쁜 상아빛이 돌아서 제 피부랑 경계가 없다 해야될까요 이질감이 전혀 안들어요  그리고 밀착력이 세배는 높아진것 같아요 찍으면 그대로 픽스되는게 더ㅂ웨어 보다 강력한것 같아요  커버할 곳을 한겹 더 레이어링 해줬더니 아주 깔끔합니다더 얇아진 느낌도 있어요좀 많이 올려서 끼임이 심할까봐 걱정했는데  생각해보니 블랙쿠션은 끼임이 없었죠 ㅋㅋ 그냥 예쁘게 벗겨지고 끼임같은건 전혀없어요ㅠㅠ제 기름이랑 잘 어우러지게 된 ㅎㅎ마스크끼고 운동했는데 찍힌곳만 손으로 좀 눌러주면 어느정도 복구 되더라구요 하 글고 제니님이랑 평생 가주세요 광고 백번은 내가봤을듯 소라님도ㅜㅜ 바뀐 쿠션 ㄷㅣ눌러서 여는 쿠션은 떨어트리면 고장날때가 있어서 본품 새로사고 한 적이 몇번 있거든요 근데 그런 일도 없을듯 해요 
6,6,5,21.05.26.,이미 두달전에 헤라  블랙쿠션 을 주문하고 잘 사용하다가 조금 더 화사한 색을 사고 싶어서 이번에 을 주문 했어요 주로 밝은 호 색상이 잘 어울리는 저에겐,이미 두달전에 헤라  블랙쿠션 을 주문하고 잘 사용하다가 조금 더 화사한 색을 사고 싶어서 이번에 을 주문 했어요 주로 밝은 호 색상이 잘 어울리는 저에겐 헤라 호는 제 피부에겐 차분한 색이였고 살짝 한톤 낮아보였어요 호는 뉴트럴 톤이였지만 아주 살짝 핑크끼가 보였고 사용했을땐 화사하면서도 잘 맞았습니다 다들 주문 하시기전에 테스트 고고항상 블랙쿠션에 대해서 궁금해하다가 건성에 가까운 복합성 피부여서 피했어요 하지만 요즘 마스크가 필수인 생활에서는 세미매트 쿠션이 필요해서 이번  헤라 블랙쿠션을 질렀어요 피부 상태가 안 좋을 때 기초를 제대로 안 하면 좀 뜨긴 해요 근데 이건 모든 파운데이션이랑 쿠션도 같아요일단 인정합니다 양 조절만 잘하면 마스크에 잘 안 묻어나요 똥손인 전 파우더 처리하니깐 정말 코부분 빼고는 안 묻더라고요 잘 안 묻어난다고 하면서 그때 꼈던 마스크 보여주니깐 바로 결제한다고 하니 말 다 했죠 그러나 그냥 쿠션만 하면 다른 쿠션 비해는 안 묻어나지만 프로 묻어남이 없다고 하기엔 무리에요두 번째로 좋았던 건 모공 커버 블랙쿠션을 써보고 아 내가 굳이 컨실러를 많이 쓸 필요가 없었구나 이렇게 생각하게 됐어요 그리고 전 홍조가 있지만 코주변이 빨갛고 보라 색 느낌도 나고 블랙헤드도 많아요 그래서 특히 많이 두드리게 되는데 항상 코 끼임 있고 볼엔 잘 뜨더라고요  블랙쿠션은 코 끼임 현상은 별로 없지만 코볼 커버하면서 화장 떡칠 한 것처럼 보여요 양 조절이 핵심이라고 느꼈어요지속력은 은근 오래 가는 거 같고 수정할 때도 그냥 덧바르면 뜨고 너무 파우더라 하게 되지만 수정용 패드로 살짝 닦고 하면 좋습니다  쿠션 탓하기 전에 기초를 탄탄하게 하고 연습하면서 똥손을 벗어나쟈 양 조절만 하면 진짜 얇게 마스크에도 안 묻어남
7,7,5,21.04.16.,본상품 사이즈보다 사은품크기가 더 큰건 또 처음이예요할인된 가격에 구매했을땐 사은품 잘 안주던데 너무 실용적인 것들로만 파우치 꽉 채워서 주셔서 감동이였습니다 쿠션도 진짜 너무 좋,본상품 사이즈보다 사은품크기가 더 큰건 또 처음이예요할인된 가격에 구매했을땐 사은품 잘 안주던데 너무 실용적인 것들로만 파우치 꽉 채워서 주셔서 감동이였습니다 쿠션도 진짜 너무 좋구요 또 너무 좋았던게 쿠션 안에 끼워넣지 않아도 이미 리필이 끼워져 있습니다 그러고 소진시 또 끼워넣을수있도록 새 리필도 동봉되어 있어요 이러니 쿠션 하나 가격에 두개 산 느낌까지 드네요ㅎㅎㅎ 미니쿠션은 정말 미니미니한 가방을 들고 나와도 콤팩트하게 잘 들어갈 수 있는 사이즈고 너무 귀엽습니다 그런데 미니 쿠션이라고 다른 저렴해보이는 케이스도 아니고 본품과 같은 케이스라 허술해 보이지도 않고 너무 만족스럽습니다 저는 미니 쿠션 어머니 드렸어요 한개는 정없으니 퍼프 두개 더 주시는 우리 헤라님들 너무 좋습니다 감사합니다쿠션 자체의 커버력이 제 얼굴 붉은톤은 잘 잡아줘서 너무 색감이 예쁘게 화사해집니다 커버력도 마스크 쓰기 전엔 워낙 트러블이 안나는 피부라 따로 커버 안해도 되는 정도구요 요새 마스크 닿는 부분에만 트러블이 자꾸올라오는데 아주 조금만 펴발라도 완벽히는 아니지만 어느정도 잡아줘서 저는 커버력도 만족합니다 저는 얇은 느낌의 화장을 선호하는 편이라 그전까진 커버력은 포기하고 앏은 파데를 주로 찾았었는데 헤라 블쿠는 아주아주 소량으로 얇게 펴바르는데 매트하고 커버력있는 편인데도 얇게 좋습니만족해서 주위사람들한테 링크 보내주면서 자꾸 추천하게 되더라고요 좋은상품 좋은구성 감사합니다
8,8,5,21.04.25.,우선저는 블랙파데와 블랙컨실러는 잘 사용 중이었지만 블랙쿠션은 너무 매트해서 제 피부에 얹었을 때는 모공 부각이 심해 몇 번 사용 후 방치했는데이번에 리뉴되면서 모공요철 부각,우선저는 블랙파데와 블랙컨실러는 잘 사용 중이었지만 블랙쿠션은 너무 매트해서 제 피부에 얹었을 때는 모공 부각이 심해 몇 번 사용 후 방치했는데이번에 리뉴되면서 모공요철 부각이 해결되었다고 해서 믿고 구매했습니다 제 피부는 수부지에 민감성 피부그리고 여드름 자국들과지금도 컨디션 안 좋으면 트러블 간간히 올라옴 무엇보다 모공이 큰 모공부자입니다ㅜㅜ 그래서 파데나 쿠션 고를 때 모공커버를 우선시 하는데기존의 블쿠는 저의 고민을 오히려 도드라지게 해서 다른 분들처럼 블쿠예찬을 이해를 못했는데요하지만 이번에 출시된 뉴블쿠는 확실히 이런 부분이 개선된 듯 해요 우선 기존에는 정말 매트하고 텁텁하게 올라갔다면 이번제품은 피부에 얹었을 때 촉촉함이 느껴지더라구요 그래서 바르기도 더 수월했구요 바르고 난 뒤에도 답답함이라던지 텁텁한 느낌도 없고 무엇보다 모공커버가 완벽하지는 않지만이건 모공부자인 제 피부 기준이에요기존보다 많이 잘 감추어져 있었습니다ㅎㅎ물론 기초를 탄탄하게 하고 발라서인지는 모르겠지만매트보다는 이번 제품은 세미매트 쪽에 가깝다는 느낌이 들었어요그래서 바르고 나서도 시간이 지나서도 건조하다는 느낌은 없었구요 오히려 수부지인 제가 발랐을 때 시간 지나도 속건조도 없었고 유분기와 적당히섞여 어우러져 피부가 맨질맨질좋아보이드라구요모공끼임도 확실히 덜해졌구요 촉촉해져서 피부에 쫀쫀하게 밀착되어 화장들뜸이나 다크닝 없이 피부화장이 오랫동안 지속되어 확실히 업그레이드 되었구나 하고 느꼈습니다예쁘고 그에 못지 않게 피부표현도 넘 고급스럽게 되네요아그리고 택배받고 깜놀했네요세상에나 함께 온 사은품들이 와우어마어마해서 방판구매 한 줄 알았어요넘 감사해요평소 써보고 싶었던 매직스타터 넣어달라고 요청했는데같이 온 캔디 두 알은 오자마자 꿀꺽해서 사진에는 없어용 호수는 이번에 기존보다 화사하다고 해서 살짝 고민하다가 기존과 동일한 으로 했는데피부에 자연스럽게 어우러져 잘 맞구요시간 지나도 다크닝도 없구요그리고 요즘 다들 마스크프루프하는데저는 쿠션이든립제품이든 마스크에 아예 안 묻을 수는 없다고 생각하고 묻어남의 정도의 차이로 결정할 수 있는 거라 생각해서 이번 쿠션은 그런 면에서 타쿠션들에 비해 묻어남이 월등히 적어 합격이라고 생각합니다이번 헤라뉴블랙쿠션은 커버력밀착력지속력까지 세마리 토끼를 다 잡은 퍼펙팅한 쿠션임이 자명합니다
9,9,5,21.03.30.,블랙쿠션 처음나왓을때부터 지금까지 사용하고잇는 블랙쿠션 처돌이예요처음 사용햇을때 많은 분들이 그랫겟지만 정말 이건 찐이다 내 인생쿠션이다 햇는데 새로 나왓다길래 이것,블랙쿠션 처음나왓을때부터 지금까지 사용하고잇는 블랙쿠션 처돌이예요처음 사용햇을때 많은 분들이 그랫겟지만 정말 이건 찐이다 내 인생쿠션이다 햇는데 새로 나왓다길래 이것보다 더 좋아질 수 잇을까 의문이 들엇어요 근데 이게 무슨일이죠 이번엔 진짜 진짜 최종 내 인생쿠션밀착력 정말 말이 필요없어요기존 블랙쿠션은 피부에 정말 잘 맞아도 그냥 마스크쓰면 어느정도 묻어남이 잇어서 얼굴 보송보송하게 파우더 처리해줫엇거든요그런데 이건 기존보다 세미매트에 좀더 가까운느낌 그래서 그런지 마스크에 묻어남이 이전보다 훨씬 적어진 느낌이에요 그냥 제 느낌일 뿐일까요 ㅎㅎ하지만 밀착력 정말 환상입니다ㅠㅠ화장할때 정말 콩만큼 찍어서 온 얼굴에 바르긴하지만 퍼프 퍼프가 바뀐것같아요기존 퍼프가 루비셀퍼프엿나요 그건 이상하게 한번 빨고나면 퍼프가 상하는건지 빨리 망가졋엇는데이건 물론 씻어봐야 알겟지만 조금더 질긴느낌 그리고 까매서 내가 얼만큼 찍엇는지 더 잘보여서 좋아요 퍼프덕에 더 잘발리는 더 기분좋고 퍼프 많이줘서 더좋구고급지게 바뀌어서 더 좋아용헤라 블랙쿠션은 역시 실망시키지않네용추천 꾸욱
